name,slug,description,assets,facets,optionGroups,optionValues,sku,price,taxCategory,stockOnHand,trackInventory,variantAssets,variantFacets
Running Shoe A,running-shoe-a,A running shoe,,,"size:shoe-size","Small",RSA-S,50,standard,100,false,,
,,,,,,Medium,RSA-M,55,standard,100,false,,
,,,,,,Large,RSA-L,60,standard,100,false,,
Running Shoe B,running-shoe-b,Another running shoe,,,"size:shoe-size","Small",RSB-S,45,standard,80,false,,
,,,,,,Medium,RSB-M,50,standard,80,false,,
,,,,,,Large,RSB-L,55,standard,80,false,,
Running Shoe C,running-shoe-c,Third running shoe,,,"size:shoe-size","Small",RSC-S,40,standard,60,false,,
,,,,,,Medium,RSC-M,45,standard,60,false,,
,,,,,,Large,RSC-L,50,standard,60,false,,
RAM Module,ram-module,High performance RAM,,,"size","4GB",RAM-4,30,standard,200,false,,
,,,,,,8GB,RAM-8,50,standard,200,false,,
T-Shirt,t-shirt,A cotton t-shirt,,,"size:tshirt-size|color:apparel-color","Small|Red",TS-SR,20,standard,300,false,,
,,,,,,Small|Blue,TS-SB,20,standard,300,false,,
,,,,,,Large|Red,TS-LR,25,standard,300,false,,
,,,,,,Large|Blue,TS-LB,25,standard,300,false,,
Hoodie,hoodie,A warm hoodie,,,"size:tshirt-size|color:apparel-color","Small|Red",HD-SR,40,standard,150,false,,
,,,,,,Small|Blue,HD-SB,40,standard,150,false,,
,,,,,,Large|Red,HD-LR,45,standard,150,false,,
,,,,,,Large|Blue,HD-LB,45,standard,150,false,,
